Driver,DriverNumber,LapNumber,Position,PositionChange,LapTimeSeconds,LapTimeDelta,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,DriverAhead_end,DistanceToDriverAhead_end,DistanceToDriverAhead_median,n_samples_with_car_ahead,n_car_samples_ahead_extract
BOT,77,6,19.0,0.0,87.804,0.0660000000000025,0.9349192937989322,17137.49300434626,99584.95454693814,400.0,11,138.4747222222204,84.91152777777648,332,333
BOT,77,7,19.0,0.0,87.457,-0.3470000000000084,0.9234317994115476,16979.12067332073,99577.24886753492,400.0,11,127.8027777777752,79.61333333333346,311,312
BOT,77,8,19.0,0.0,87.364,-0.0929999999999893,0.9341452414735164,16700.359817815326,99555.6523391337,400.0,11,125.12055555555617,77.24499999999966,317,318
BOT,77,9,18.0,-1.0,87.679,0.3149999999999977,0.9336282787889396,16912.79124419687,99572.97093213849,400.0,11,196.167222222226,113.79277777777997,324,325
BOT,77,10,18.0,0.0,87.661,-0.0180000000000006,0.9367511098560094,16803.151661879656,99564.03250275584,400.0,11,214.90861111111008,143.5730555555554,328,329
BOT,77,11,15.0,-3.0,99.058,11.397000000000006,0.9367511098560094,16769.907455423763,99561.3222498936,400.0,30,53.96527777778101,151.48333333333403,361,362
BOT,77,13,18.0,3.0,104.111,5.052999999999997,0.9367511098560094,16972.385604755807,99576.92116964234,400.0,63,1145.1586111111155,816.4808333333328,380,381
BOT,77,14,18.0,0.0,91.389,-12.722000000000008,0.920590531676717,16376.129356389512,99529.21926613298,400.0,1,739.8752777777772,490.88083333333566,350,351
BOT,77,15,18.0,0.0,91.33,-0.0589999999999975,0.965630848209324,16795.423094224956,99563.40242687675,400.0,10,687.0930555555451,482.837222222216,335,336
COL,43,1,17.0,,101.613,,0.978316554816809,17283.209019026875,99592.0444273849,400.0,30,111.30472222222396,28.758611111114988,375,378
COL,43,2,16.0,-1.0,88.166,-13.447000000000005,0.9714410375618544,16967.558805617613,99576.686319486,400.0,3,192.79250000000135,43.98083333333352,335,336
